0 0 3249
1 3249 3740
2 6989 4300
3 11289 3604
4 14893 14607
5 29500 3054
6 32554 4837
7 37391 4108
8 41499 2620
9 44119 2740
10 46859 3590
11 50449 3487
12 53936 19858
13 73794 4001
14 77795 1264
15 79059 4178
16 83237 3680
17 86917 5362
18 92279 4334
19 96613 3831
20 100444 4395
21 104839 3074
22 107913 1701
23 109614 4297
24 113911 3753
25 117664 3199
26 120863 4027
27 124890 4183
28 129073 3564
29 132637 3660
30 136297 3823
31 140120 4049
32 144169 3495
33 147664 4327
34 151991 10582
35 162573 3780
36 166353 4716
37 171069 3514
38 174583 4038
39 178621 4781
40 183402 4211
41 187613 3971
42 191584 3480
43 195064 2882
44 197946 3116
45 201062 3158
46 204220 4081
47 208301 3278
48 211579 19415
49 230994 4368
50 235362 3418
51 238780 1564
52 240344 3477
53 243821 3535
54 247356 19627
55 266983 4678
56 271661 1512
57 273173 3421
58 276594 4859
59 281453 4157
60 285610 3344
61 288954 1237
62 290191 3474
63 293665 5459
64 299124 3790
65 302914 5085
66 307999 3182
67 311181 3315
68 314496 3656
69 318152 3742
70 321894 3509
71 325403 2751
72 328154 3250
73 331404 3670
74 335074 3213
75 338287 3576
76 341863 18998
77 360861 4542
78 365403 3798
79 369201 3677
80 372878 1602
81 374480 4340
82 378820 1246
83 380066 934
84 381000 2991
85 383991 4070
86 388061 3554
87 391615 2862
88 394477 3551
89 398028 2615
90 400643 1123
91 401766 4227
92 405993 19873
93 425866 3832
94 429698 4842
95 434540 3349
96 437889 4843
97 442732 3318
98 446050 3241
99 449291 3662
100 452953 6401
101 459354 3602
102 462956 6874
103 469830 10174
104 480004 2206
105 482210 3700
106 485910 2361
107 488271 3751
108 492022 2975
109 494997 3798
110 498795 1655
111 500450 10159
112 510609 2163
113 512772 5025
114 517797 2457
115 520254 1521
116 521775 7999
117 529774 6815
118 536589 4460
119 541049 9655
120 550704 6411
121 557115 5758
122 562873 2909
123 565782 5713
124 571495 10459
125 581954 4336
126 586290 6186
127 592476 4661
128 597137 2278
129 599415 3466
130 602881 8962
131 611843 1838
132 613681 5769
133 619450 4079
134 623529 4056
135 627585 2639
136 630224 400
137 630624 1891
138 632515 7433
139 639948 4476
140 644424 2456
141 646880 1758
142 648638 3136
143 651774 3547
144 655321 2822
145 658143 5260
146 663403 1174
147 664577 1188
148 665765 3125
149 668890 7634
150 676524 7681
151 684205 1191
152 685396 6046
153 691442 1709
154 693151 2341
155 695492 4854
156 700346 1738
157 702084 3386
158 705470 1964
159 707434 1219
160 708653 2662
161 711315 708
162 712023 2837
163 714860 5246
164 720106 204
165 720310 1677
166 721987 2840
167 724827 4190
168 729017 1263
169 730280 1129
170 731409 1635
171 733044 1199
172 734243 1683
173 735926 852
174 736778 883
175 737661 3852
176 741513 857
177 742370 3117
178 745487 7849
179 753336 2574
180 755910 1534
181 757444 3188
182 760632 1182
183 761814 2732
184 764546 2385
185 766931 1358
186 768289 1038
187 769327 3700
188 773027 3109
189 776136 1479
190 777615 8405
191 786020 1490
192 787510 2074
193 789584 959
194 790543 1657
195 792200 1653
196 793853 920
197 794773 2433
198 797206 9668
199 806874 4002
200 810876 2713
201 813589 2758
202 816347 1932
203 818279 2470
204 820749 7197
205 827946 1566
206 829512 1190
207 830702 1157
208 831859 1167
209 833026 1175
210 834201 1163
211 835364 1172
212 836536 1166
213 837702 1178
214 838880 1169
215 840049 794
216 840843 1139
217 841982 8098
218 850080 5589
219 855669 1359
220 857028 2047
221 859075 4773
222 863848 6794
223 870642 8201
224 878843 3944
225 882787 5478
226 888265 1256
227 889521 8875
228 898396 6046
229 904442 2089
230 906531 4470
231 911001 1963
232 912964 9310
233 922274 2421
234 924695 1292
235 925987 2948
236 928935 2176
237 931111 3037
238 934148 931
239 935079 3774
240 938853 2628
241 941481 1543
242 943024 3428
243 946452 1667
